method,metric,mean,ci95_low,ci95_high,seeds
independent,throughput_mbps,41.232524692682375,,,1
independent,throughput_top10_mbps,65.28178776469653,,,1
independent,throughput_bottom10_mbps,30.87290676789332,,,1
independent,delay_ms,24.772904516251025,,,1
independent,delay_top10_ms,5.0,,,1
independent,delay_bottom10_ms,143.34764054241379,,,1
independent,loss_ratio,0.0024965570166304327,,,1
independent,violation_ratio,0.03936111111111111,,,1
independent,fairness,0.6246616848753039,,,1
independent,exceedance_probability,0.06333333333333332,,,1
independent,intervention,0.0,,,1
independent,fallback,0.0,,,1
independent,projection_distance,0.0,,,1
independent,normalized_distance,0.0,,,1
adaptive,throughput_mbps,41.12059620652544,,,1
adaptive,throughput_top10_mbps,63.748336722644254,,,1
adaptive,throughput_bottom10_mbps,30.98203377862658,,,1
adaptive,delay_ms,34.72101398956405,,,1
adaptive,delay_top10_ms,5.0,,,1
adaptive,delay_bottom10_ms,178.40444494160576,,,1
adaptive,loss_ratio,0.003257233309030344,,,1
adaptive,violation_ratio,0.05117708333333333,,,1
adaptive,fairness,0.6270946418408907,,,1
adaptive,exceedance_probability,0.09027777777777778,,,1
adaptive,intervention,0.9916666666666667,,,1
adaptive,fallback,0.0,,,1
adaptive,projection_distance,2.3138140523355935,,,1
adaptive,normalized_distance,0.21122135838944056,,,1
pandora,throughput_mbps,41.21291270131441,,,1
pandora,throughput_top10_mbps,65.21497684581587,,,1
pandora,throughput_bottom10_mbps,30.88670668279994,,,1
pandora,delay_ms,24.117283170793122,,,1
pandora,delay_top10_ms,5.0,,,1
pandora,delay_bottom10_ms,135.80410367766575,,,1
pandora,loss_ratio,0.0026291525036309803,,,1
pandora,violation_ratio,0.038503472222222224,,,1
pandora,fairness,0.6251507781588734,,,1
pandora,exceedance_probability,0.06534722222222222,,,1
pandora,intervention,1.0,,,1
pandora,fallback,1.0,,,1
pandora,projection_distance,0.546270903231922,,,1
pandora,normalized_distance,0.04986748270147424,,,1
