method,metric,mean,ci95_low,ci95_high,seeds
independent,throughput_mbps,10.818641600539081,,,1
independent,throughput_top10_mbps,16.789450485033353,,,1
independent,throughput_bottom10_mbps,7.45085901091377,,,1
independent,delay_ms,5.016779396662642,,,1
independent,delay_top10_ms,5.0,,,1
independent,delay_bottom10_ms,5.1677939666264185,,,1
independent,loss_ratio,0.0,,,1
independent,violation_ratio,0.009259259259259259,,,1
independent,fairness,0.8124700159626035,,,1
independent,exceedance_probability,0.05555555555555555,,,1
independent,intervention,0.0,,,1
independent,fallback,0.0,,,1
independent,projection_distance,0.0,,,1
independent,normalized_distance,0.0,,,1
static,throughput_mbps,10.818641600539081,,,1
static,throughput_top10_mbps,16.801652231555167,,,1
static,throughput_bottom10_mbps,7.45085901091377,,,1
static,delay_ms,5.0,,,1
static,delay_top10_ms,5.0,,,1
static,delay_bottom10_ms,5.0,,,1
static,loss_ratio,0.0,,,1
static,violation_ratio,0.009259259259259259,,,1
static,fairness,0.812439190136313,,,1
static,exceedance_probability,0.05555555555555555,,,1
static,intervention,0.9222222222222223,,,1
static,fallback,0.0,,,1
static,projection_distance,0.336397831014043,,,1
static,normalized_distance,0.05606630516900718,,,1
adaptive,throughput_mbps,10.818641600539081,,,1
adaptive,throughput_top10_mbps,16.79576357745269,,,1
adaptive,throughput_bottom10_mbps,7.45085901091377,,,1
adaptive,delay_ms,5.008022641541605,,,1
adaptive,delay_top10_ms,5.0,,,1
adaptive,delay_bottom10_ms,5.0802264154160515,,,1
adaptive,loss_ratio,0.0,,,1
adaptive,violation_ratio,0.009259259259259259,,,1
adaptive,fairness,0.8124553083339753,,,1
adaptive,exceedance_probability,0.05555555555555555,,,1
adaptive,intervention,0.6666666666666666,,,1
adaptive,fallback,0.0,,,1
adaptive,projection_distance,0.4298036879016939,,,1
adaptive,normalized_distance,0.07163394798361565,,,1
scheduler-reference,throughput_mbps,10.818641600539081,,,1
scheduler-reference,throughput_top10_mbps,16.62612535943429,,,1
scheduler-reference,throughput_bottom10_mbps,7.45085901091377,,,1
scheduler-reference,delay_ms,5.318679065633143,,,1
scheduler-reference,delay_top10_ms,5.0,,,1
scheduler-reference,delay_bottom10_ms,8.186790656331423,,,1
scheduler-reference,loss_ratio,0.0,,,1
scheduler-reference,violation_ratio,0.010185185185185184,,,1
scheduler-reference,fairness,0.8122024222274828,,,1
scheduler-reference,exceedance_probability,0.061111111111111116,,,1
scheduler-reference,intervention,1.0,,,1
scheduler-reference,fallback,0.0,,,1
scheduler-reference,projection_distance,1.9520188269200962,,,1
scheduler-reference,normalized_distance,0.32533647115334935,,,1
qos-reference,throughput_mbps,10.818641600539081,,,1
qos-reference,throughput_top10_mbps,16.789450485033353,,,1
qos-reference,throughput_bottom10_mbps,7.45085901091377,,,1
qos-reference,delay_ms,5.016779396662642,,,1
qos-reference,delay_top10_ms,5.0,,,1
qos-reference,delay_bottom10_ms,5.1677939666264185,,,1
qos-reference,loss_ratio,0.0,,,1
qos-reference,violation_ratio,0.009259259259259259,,,1
qos-reference,fairness,0.8124700159626035,,,1
qos-reference,exceedance_probability,0.05555555555555555,,,1
qos-reference,intervention,0.005555555555555556,,,1
qos-reference,fallback,0.0,,,1
qos-reference,projection_distance,0.007834405557636521,,,1
qos-reference,normalized_distance,0.0013057342596060869,,,1
pandora,throughput_mbps,10.818641600539081,,,1
pandora,throughput_top10_mbps,16.801652231555167,,,1
pandora,throughput_bottom10_mbps,7.45085901091377,,,1
pandora,delay_ms,5.0,,,1
pandora,delay_top10_ms,5.0,,,1
pandora,delay_bottom10_ms,5.0,,,1
pandora,loss_ratio,0.0,,,1
pandora,violation_ratio,0.009259259259259259,,,1
pandora,fairness,0.812439190136313,,,1
pandora,exceedance_probability,0.05555555555555555,,,1
pandora,intervention,1.0,,,1
pandora,fallback,1.0,,,1
pandora,projection_distance,0.336397831014043,,,1
pandora,normalized_distance,0.05606630516900718,,,1
